word,count
naked,54
intend,54
enjoy,54
vouchsafe,54
shine,54
hers,54
divine,54
voices,54
dying,54
bought,54
estate,54
protest,54
le,54
francis,54
gallant,54
turn’d,54
intent,54
oliver,54
vengeance,54
puck,54
boult,54
fourth,53
cease,53
doom,53
counterfeit,53
painter,53
greatest,53
vice,53
faint,53
heed,53
plot,53
monsieur,53
modesty,53
encounter,53
seas,53
dares,53
hereafter,53
streets,53
dread,53
obedience,53
pound,53
sign,53
realm,53
doll,53
alonso,53
meant,52
merit,52
bestow,52
civil,52
taught,52
seest,52
burden,52
sleeping,52
rule,52
mothers,52
search,52
hie,52
spake,52
menas,52
names,52
throat,52
empty,52
armour,52
lysimachus,52
chiron,52
laws,51
tempest,51
mother’s,51
consider,51
dumb,51
prize,51
mars,51
main,51
guess,51
rank,51
equal,51
finds,51
angel,51
in’t,51
modest,51
window,51
perchance,51
maids,51
t,51
hollow,51
ducats,51
wooer,51
quince,51
borachio,51
waste,50
tells,50
nought,50
plead,50
triumph,50
frown,50
sorrows,50
fate,50
hid,50
jealous,50
crave,50
add,50
garments,50
sickness,50
runs,50
chaste,50
neighbour,50
trick,50
fancy,50
cap,50
gown,50
commission,50
tailor,50
council,50
bend,50
fish,50
quit,50
sore,50
thieves,50
raise,50
challenge,50
stuff,50
oer,50
hall,50
execution,50
forces,50
elbow,50
surrey,50
protector,50
reignier,50
vincentio,50
frame,49
picture,49
prey,49
root,49
blest,49
contrary,49
devise,49
sail,49
blessing,49
wont,49
gifts,49
bird,49
cup,49
bury,49
advice,49
success,49
bade,49
shot,49
tedious,49
master’s,49
conduct,49
reputation,49
ignorant,49
sleeps,49
twelve,49
draws,49
shortly,49
satisfied,49
followers,49
bodies,49
villains,49
device,49
regard,49
glendower,49
messala,49
cosen,49
warm,48
repair,48
dwell,48
strikes,48
conceit,48
speaking,48
star,48
flatter,48
account,48
glorious,48
stain,48
party,48
desert,48
thinking,48
knowing,48
bark,48
unknown,48
fits,48
perforce,48
sides,48
i’d,48
kinsman,48
armed,48
capitol,48
marcellus,48
retire,48
dogs,48
cave,48
smiles,48
cell,48
prisoners,48
bedford,48
lewis,48
constance,48
thisbe,48
fairly,47
